id_tmdb,title,tmdb_title,release_date,release_year,release_month,release_quarter,release_period,is_summer_release,is_holiday_release,director_name,top_billed_cast,production_company_names,main_production_company,production_company_count,cast_member_count,tmdb_fetch_status,tmdb_http_status,tmdb_error
5,Four Rooms,Four Rooms,1995-12-09,1995,12,Q4,verao,0,1,Allison Anders,Tim Roth|Jennifer Beals|David Proval,Miramax|A Band Apart,Miramax,2,28,ok,200,
6,Judgment Night,Judgment Night,1993-10-15,1993,10,Q4,primavera,0,0,Stephen Hopkins,Emilio Estevez|Cuba Gooding Jr.|Denis Leary,Largo Entertainment|JVC|Universal Pictures,Largo Entertainment,3,31,ok,200,
11,Star Wars,Star Wars,1977-05-25,1977,5,Q2,outono,1,0,George Lucas,Mark Hamill|Harrison Ford|Carrie Fisher,Lucasfilm Ltd.,Lucasfilm Ltd.,1,104,ok,200,
12,Finding Nemo,Finding Nemo,2003-05-30,2003,5,Q2,outono,1,0,Andrew Stanton,Albert Brooks|Ellen DeGeneres|Alexander Gould,Pixar,Pixar,1,68,ok,200,
13,Forrest Gump,Forrest Gump,1994-06-23,1994,6,Q2,inverno,1,0,Robert Zemeckis,Tom Hanks|Robin Wright|Gary Sinise,Paramount Pictures|The Steve Tisch Company|Wendy Finerman Productions,Paramount Pictures,3,146,ok,200,
14,American Beauty,American Beauty,1999-09-15,1999,9,Q3,primavera,0,0,Sam Mendes,Kevin Spacey|Annette Bening|Thora Birch,DreamWorks Pictures|Jinks/Cohen Company,DreamWorks Pictures,2,41,ok,200,
15,Citizen Kane,Citizen Kane,1941-04-17,1941,4,Q2,outono,0,0,Orson Welles,Orson Welles|Joseph Cotten|Dorothy Comingore,Mercury Productions|RKO Radio Pictures,Mercury Productions,2,154,ok,200,
16,Dancer in the Dark,Dancer in the Dark,2000-09-01,2000,9,Q3,primavera,0,0,Lars von Trier,Björk|Catherine Deneuve|David Morse,Zentropa Entertainments|DR|SVT Drama|ARTE|France 3 Cinéma|Blind Spot Pictures|Liberator Productions|Íslenska kvikmyndasamsteypan|Pain Unlimited Filmproduktion|Trust Film Svenska|Cinematograph|What Else?|ARTE France Cinéma|Film i Väst|WDR,Zentropa Entertainments,15,69,ok,200,
18,Le Cinquième Élément,The Fifth Element,1997-05-02,1997,5,Q2,outono,1,0,Luc Besson,Bruce Willis|Milla Jovovich|Gary Oldman,Gaumont,Gaumont,1,120,ok,200,
19,Metropolis,Metropolis,1927-01-10,1927,1,Q1,verao,0,0,Fritz Lang,Gustav Fröhlich|Brigitte Helm|Alfred Abel,UFA,UFA,1,24,ok,200,
20,My Life Without Me,My Life Without Me,2003-03-07,2003,3,Q1,outono,0,0,Isabel Coixet,Sarah Polley|Amanda Plummer|Scott Speedman,El Deseo|Milestone Productions|Miss Wasabi,El Deseo,3,13,ok,200,
22,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,2003,7,Q3,inverno,1,0,Gore Verbinski,Johnny Depp|Geoffrey Rush|Orlando Bloom,Walt Disney Pictures|Jerry Bruckheimer Films,Walt Disney Pictures,2,71,ok,200,
24,Kill Bill: Vol. 1,Kill Bill: Vol. 1,2003-10-10,2003,10,Q4,primavera,0,0,Quentin Tarantino,Uma Thurman|Lucy Liu|Vivica A. Fox,Miramax|A Band Apart|Super Cool ManChu,Miramax,3,38,ok,200,
25,Jarhead,Jarhead,2005-11-04,2005,11,Q4,primavera,0,1,Sam Mendes,Jake Gyllenhaal|Jamie Foxx|Peter Sarsgaard,Red Wagon Entertainment|Neal Street Productions,Red Wagon Entertainment,2,32,ok,200,
27,9 Songs,9 Songs,2004-07-16,2004,7,Q3,inverno,1,0,Michael Winterbottom,Kieran O'Brien|Margo Stilley|Courtney Taylor-Taylor,Revolution Films,Revolution Films,1,12,ok,200,
28,Apocalypse Now,Apocalypse Now,1979-05-19,1979,5,Q2,outono,1,0,Francis Ford Coppola,Martin Sheen|Marlon Brando|Frederic Forrest,American Zoetrope,American Zoetrope,1,49,ok,200,
33,Unforgiven,Unforgiven,1992-08-07,1992,8,Q3,inverno,1,0,Clint Eastwood,Clint Eastwood|Gene Hackman|Morgan Freeman,Warner Bros. Pictures|Malpaso Productions,Warner Bros. Pictures,2,42,ok,200,
35,The Simpsons Movie,The Simpsons Movie,2007-07-25,2007,7,Q3,inverno,1,0,David Silverman,Dan Castellaneta|Julie Kavner|Nancy Cartwright,Gracie Films|20th Century Fox,Gracie Films,2,19,ok,200,
38,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,2004-03-19,2004,3,Q1,outono,0,0,Michel Gondry,Jim Carrey|Kate Winslet|Kirsten Dunst,Focus Features|Anonymous Content|This is that,Focus Features,3,19,ok,200,
55,Amores perros,Amores Perros,2000-06-16,2000,6,Q2,inverno,1,0,Alejandro G. Iñárritu,Emilio Echevarría|Gael García Bernal|Vanessa Bauche,Altavista Films|Zeta Film,Altavista Films,2,26,ok,200,
58,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,2006,7,Q3,inverno,1,0,Gore Verbinski,Johnny Depp|Orlando Bloom|Keira Knightley,Walt Disney Pictures|Jerry Bruckheimer Films|Second Mate Productions,Walt Disney Pictures,3,72,ok,200,
59,A History of Violence,A History of Violence,2005-09-23,2005,9,Q3,primavera,0,0,David Cronenberg,Viggo Mortensen|Maria Bello|Ed Harris,New Line Cinema|BenderSpink|Media I! Filmproduktion München & Company,New Line Cinema,3,32,ok,200,
62,2001: A Space Odyssey,2001: A Space Odyssey,1968-04-02,1968,4,Q2,outono,0,0,Stanley Kubrick,Keir Dullea|Gary Lockwood|William Sylvester,Stanley Kubrick Productions|Metro-Goldwyn-Mayer,Stanley Kubrick Productions,2,62,ok,200,
63,Twelve Monkeys,Twelve Monkeys,1995-12-29,1995,12,Q4,verao,0,1,Terry Gilliam,Bruce Willis|Madeleine Stowe|Brad Pitt,Universal Pictures|Atlas Entertainment|Classico|Twelve Monkeys Productions,Universal Pictures,4,68,ok,200,
65,8 Mile,8 Mile,2002-11-08,2002,11,Q4,primavera,0,1,Curtis Hanson,Eminem|Kim Basinger|Mekhi Phifer,Mikona Productions|Imagine Entertainment,Mikona Productions,2,42,ok,200,
66,Absolute Power,Absolute Power,1997-02-14,1997,2,Q1,verao,0,0,Clint Eastwood,Clint Eastwood|Gene Hackman|Ed Harris,Castle Rock Entertainment|Malpaso Productions,Castle Rock Entertainment,2,24,ok,200,
68,Brazil,Brazil,1985-02-20,1985,2,Q1,verao,0,0,Terry Gilliam,Jonathan Pryce|Robert De Niro|Katherine Helmond,Embassy International Pictures,Embassy International Pictures,1,42,ok,200,
69,Walk the Line,Walk the Line,2005-09-13,2005,9,Q3,primavera,0,0,James Mangold,Joaquin Phoenix|Reese Witherspoon|Ginnifer Goodwin,Mars Media Beteiligungs|Tree Line Films|Catfish Productions|Fox 2000 Pictures,Mars Media Beteiligungs,4,89,ok,200,
70,Million Dollar Baby,Million Dollar Baby,2004-12-05,2004,12,Q4,verao,0,1,Clint Eastwood,Clint Eastwood|Hilary Swank|Morgan Freeman,Lakeshore Entertainment|Malpaso Productions|Epsilon Motion Pictures|ASR Productions|Warner Bros. Pictures,Lakeshore Entertainment,5,61,ok,200,
71,Billy Elliot,Billy Elliot,2000-09-28,2000,9,Q3,primavera,0,0,Stephen Daldry,Jamie Bell|Gary Lewis|Julie Walters,StudioCanal|BBC Film|Tiger Aspect|Arts Council of England|Working Title Films|WT² Productions|Universal Pictures,StudioCanal,7,43,ok,200,
73,American History X,American History X,1998-07-01,1998,7,Q3,inverno,1,0,Tony Kaye,Edward Norton|Edward Furlong|Beverly D'Angelo,New Line Cinema|Savoy Pictures|The Turman-Morrissey Company,New Line Cinema,3,50,ok,200,
74,War of the Worlds,War of the Worlds,2005-06-28,2005,6,Q2,inverno,1,0,Steven Spielberg,Tom Cruise|Dakota Fanning|Justin Chatwin,Paramount Pictures|DreamWorks Pictures|Amblin Entertainment|Cruise/Wagner Productions,Paramount Pictures,4,115,ok,200,
75,Mars Attacks!,Mars Attacks!,1996-12-13,1996,12,Q4,verao,0,1,Tim Burton,Jack Nicholson|Glenn Close|Annette Bening,Warner Bros. Pictures|Tim Burton Productions,Warner Bros. Pictures,2,69,ok,200,
76,Before Sunrise,Before Sunrise,1995-01-27,1995,1,Q1,verao,0,0,Richard Linklater,Ethan Hawke|Julie Delpy|Andrea Eckert,Castle Rock Entertainment|Detour Filmproduction|Filmhaus Films,Castle Rock Entertainment,3,30,ok,200,
77,Memento,Memento,2000-10-11,2000,10,Q4,primavera,0,0,Christopher Nolan,Guy Pearce|Carrie-Anne Moss|Joe Pantoliano,Newmarket Films|Summit Entertainment|Team Todd|I Remember Productions,Newmarket Films,4,13,ok,200,
78,Blade Runner,Blade Runner,1982-06-25,1982,6,Q2,inverno,1,0,Ridley Scott,Harrison Ford|Rutger Hauer|Sean Young,Shaw Brothers|The Ladd Company|Warner Bros. Pictures,Shaw Brothers,3,32,ok,200,
79,英雄,Hero,2002-12-19,2002,12,Q4,verao,0,1,Zhang Yimou,Jet Li|Tony Leung Chiu-wai|Maggie Cheung,Beijing New Picture Film Co. Ltd.|China Film Co-Production|Elite Group Enterprises|Edko Films|Sil-Metropole Organisation|Zhang Yimou Studio,Beijing New Picture Film Co. Ltd.,6,16,ok,200,
80,Before Sunset,Before Sunset,2004-06-16,2004,6,Q2,inverno,1,0,Richard Linklater,Ethan Hawke|Julie Delpy|Vernon Dobtcheff,Warner Independent Pictures|Castle Rock Entertainment|Detour Filmproduction,Warner Independent Pictures,3,10,ok,200,
81,風の谷のナウシカ,Warriors of the Wind,1984-03-11,1984,3,Q1,outono,0,0,Hayao Miyazaki,Sumi Shimamoto|Ichiro Nagai|Gorō Naya,Topcraft|Tokuma Shoten|Hakuhodo,Topcraft,3,26,ok,200,
82,Miami Vice,Miami Vice,2006-07-27,2006,7,Q3,inverno,1,0,Michael Mann,Colin Farrell|Jamie Foxx|Naomie Harris,Universal Pictures|Forward Pass|Motion Picture ETA Produktionsgesellschaft,Universal Pictures,3,72,ok,200,
83,Open Water,Open Water,2004-08-06,2004,8,Q3,inverno,1,0,Chris Kentis,Blanchard Ryan|Daniel Travis|Saul Stein,Plunge Pictures LLC|Lions Gate Films|EastGate Films,Plunge Pictures LLC,3,6,ok,200,
85,Raiders of the Lost Ark,Raiders of the Lost Ark,1981-06-12,1981,6,Q2,inverno,1,0,Steven Spielberg,Harrison Ford|Karen Allen|Paul Freeman,Paramount Pictures|Lucasfilm Ltd.,Paramount Pictures,2,50,ok,200,
