id_tmdb,title,original_language,adult,video,genres,status,runtime,belongs_to_collection,budget,revenue
552524,Lilo & Stitch,en,False,False,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",Released,108,,100000000,610800000
950387,A Minecraft Movie,en,False,False,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",Released,101,"{'id': 1461530, 'name': 'The Minecraft Movie Collection', 'poster_path': '/8jMQ2sVZ1RRiYSpcb7Yommo7V4r.jpg', 'backdrop_path': '/gvR8XaxV3wZlh1LKpReAjaTWhA2.jpg'}",150000000,947000000
1257960,सिकंदर,hi,False,False,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",Released,133,,23500000,24727058
574475,Final Destination Bloodlines,en,False,False,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",Released,110,"{'id': 8864, 'name': 'Final Destination Collection', 'poster_path': '/nr4MXTXK2in9gxYhFMQGni66KRJ.jpg', 'backdrop_path': '/y3aWOInifbGKXM34KjtcMITrZRZ.jpg'}",50000000,229314062
1197306,A Working Man,en,False,False,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",Released,116,,40000000,98652557
575265,Mission: Impossible - The Final Reckoning,en,False,False,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",Released,170,"{'id': 87359, 'name': 'Mission: Impossible Collection', 'poster_path': '/geEjCGfdmRAA1skBPwojcdvnZ8A.jpg', 'backdrop_path': '/mroWh717g0Ah2c0rrPGW6f3EWMM.jpg'}",400000000,353800000
1232546,Until Dawn,en,False,False,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",Released,103,,15000000,51515949
1233413,Sinners,en,False,False,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",Released,138,"{'id': 1489663, 'name': 'Sinners Collection', 'poster_path': '/48KYBYnHmt7ykX57zGuv6SXVZOO.jpg', 'backdrop_path': '/e0kl32U3pHA2cdR1VGRk5TUmrFr.jpg'}",90000000,350000000
11544,Lilo & Stitch,en,False,False,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",Released,85,"{'id': 97461, 'name': 'Lilo & Stitch Collection', 'poster_path': '/bstyyXaLinnYwoyvo5HaDceJN07.jpg', 'backdrop_path': '/2bQIDuinsMUXjcBZq8hbyPxjhvz.jpg'}",80000000,273144151
1098006,Fountain of Youth,en,False,False,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 9648, 'name': 'Mystery'}]",Released,126,,0,0
1241436,Warfare,en,False,False,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}]",Released,95,,20000000,31896828
1001414,Fear Street: Prom Queen,en,False,False,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",Released,90,,0,0
447273,Snow White,en,False,False,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",Released,109,,270000000,205176583
