target_version,model,mean_mse,std_mse,mean_rmse,std_rmse,mean_mae,std_mae,mean_r2,std_r2
Sem transformação,XGBoost Regressor,1.3915235229158604e+16,3098413514139379.5,117321481.15079184,12948843.352164216,58939848.4,2493276.234980758,0.5940431952476501,0.059519197505451094
Sem transformação,Random Forest Regressor,1.4376617272072814e+16,2997360781041011.0,119314796.95572829,12498733.246308835,59529760.63801502,2332628.9366241517,0.578880517341549,0.06780844649925398
Sem transformação,Gradient Boosting Regressor,1.4584532767766116e+16,3156142531970869.5,120147844.33990625,12868059.865840783,59192082.56831714,2667063.316381322,0.5708361283472451,0.08563971454667356
Sem transformação,Linear Regression,1.5119920444979274e+16,3619391897645683.0,122182097.483022,14585209.388988795,63626438.29380234,2559481.754909847,0.5618233965220543,0.05359083153888936
Com log1p,Random Forest Regressor,1.519334174205551e+16,3517638468452514.0,122497476.30712864,14441838.927226907,55675578.4665669,2466496.10124589,0.5599964789672995,0.049304267007246626
Com log1p,XGBoost Regressor,1.5854717154361344e+16,4275665437894210.0,124868493.75123796,17080737.12494697,55623830.0,2941483.13159573,0.5448320388793946,0.05027017451370344
Com log1p,Gradient Boosting Regressor,1.657078536567582e+16,4731791537902091.0,127551072.76665707,18303284.51856449,56333455.89194282,3014743.070038758,0.524723777395678,0.06090343557249777
Com log1p,Decision Tree Regressor,1.6924469983472356e+16,3488659598267677.5,129474651.58705847,13365984.183830759,60313637.999177836,2315635.4970800877,0.5060675553013162,0.06315674379310336
Sem transformação,Decision Tree Regressor,1.71447374649739e+16,3191171813104448.5,130441547.60840282,12006485.4001995,64027637.74594532,1937334.9256489694,0.4935885987215366,0.09690354152822475
Sem transformação,KNN Regressor,1.7299852151346708e+16,3587695357532671.5,130871134.40875813,13848318.386138242,66957426.325524986,3604245.354276736,0.4966224963752749,0.056688385984083954
Com log1p,KNN Regressor,2.0778613425338064e+16,4640618271107850.0,143267864.48089504,16764129.44427465,64282535.65043503,2873799.976546214,0.39986131522585167,0.052789634099347775
Com log1p,SVR,3.163457502780655e+16,1.3794237914833332e+16,174031590.77922925,38695110.782995194,66250608.195953086,5666908.375725857,0.05170164424696917,0.45587664036716913
Sem transformação,Dummy Regressor,3.4545088009087576e+16,6786682606584334.0,184991285.25603324,18953521.76036336,104666293.32840237,3147359.298677788,-0.0003989198111052472,0.0008728641919924366
Sem transformação,SVR,3.861809571804094e+16,7095096242500078.0,195708823.19177774,18742472.35352635,86554917.73170665,3112666.884550022,-0.12123054648509479,0.017762453701696577
Com log1p,Dummy Regressor,3.969225738233566e+16,7137626811874301.0,198447537.31695068,18584112.54489332,87038659.96815296,3061748.3334724084,-0.1533726799672287,0.023591367485178014
Com log1p,Linear Regression,4.6732450984285815e+19,9.916276361876716e+19,4284375082.621974,5615116614.569576,260400277.63596997,232609730.8317304,-1186.4657100944685,2411.3462504075433
