target_version,model,fold,mse,rmse,mae,r2,best_params_json
Sem transformação,Dummy Regressor,0,2.1154256655501564e+16,145445029.66929314,97837583.08800732,-0.0028683453284319427,"{""strategy"": ""mean""}"
Sem transformação,Dummy Regressor,1,3.517302792853457e+16,187544735.80597928,103949672.37108508,-5.0730029463874615e-06,"{""strategy"": ""mean""}"
Sem transformação,Dummy Regressor,2,3.5118710892720636e+16,187399868.9773305,102549811.8964904,-0.00010166700781977234,"{""strategy"": ""mean""}"
Sem transformação,Dummy Regressor,3,4.531784746807102e+16,212879889.76902217,107128795.81781416,-0.00020926723415981563,"{""strategy"": ""mean""}"
Sem transformação,Dummy Regressor,4,3.234573021500675e+16,179849187.4182554,106194580.94147514,-7.817449297942147e-05,"{""strategy"": ""mean""}"
Sem transformação,Dummy Regressor,5,4.127085728403442e+16,203152300.71065998,106728743.0097512,-9.250506446778495e-05,"{""strategy"": ""mean""}"
Sem transformação,Dummy Regressor,6,2.7306572168003904e+16,165247003.5068833,101633368.81419426,-0.0002191371999744618,"{""strategy"": ""mean""}"
Sem transformação,Dummy Regressor,7,3.737165876064847e+16,193317507.64131135,106077587.15817039,-2.982507953919189e-05,"{""strategy"": ""mean""}"
Sem transformação,Dummy Regressor,8,3.330731790320334e+16,182502925.73874903,107341959.54686294,-0.00031315804058817953,"{""strategy"": ""mean""}"
Sem transformação,Dummy Regressor,9,3.70849008151511e+16,192574403.32284844,107220830.6401728,-7.204566014551439e-05,"{""strategy"": ""mean""}"
Sem transformação,Linear Regression,0,1.0380219276783606e+16,101883361.1380367,60790611.43563426,0.5079007738356549,"{""fit_intercept"": false, ""positive"": false}"
Sem transformação,Linear Regression,1,1.9219370267051492e+16,138633943.41593075,65975679.08059203,0.45357369271635994,"{""fit_intercept"": false, ""positive"": false}"
Sem transformação,Linear Regression,2,1.5429060978848998e+16,124213771.29307763,64833756.315057985,0.5606151475078595,"{""fit_intercept"": true, ""positive"": true}"
Sem transformação,Linear Regression,3,2.165152530479299e+16,147144572.80101427,65374908.65560637,0.5221296361247789,"{""fit_intercept"": true, ""positive"": false}"
Sem transformação,Linear Regression,4,1.1514245064125272e+16,107304450.34631729,60656817.6804322,0.6439979834169034,"{""fit_intercept"": true, ""positive"": true}"
Sem transformação,Linear Regression,5,1.7070089397563896e+16,130652552.20455472,64484378.641965844,0.5863505245409999,"{""fit_intercept"": false, ""positive"": false}"
Sem transformação,Linear Regression,6,1.1182882892950354e+16,105749150.79068178,64729560.281398885,0.5903794365042487,"{""fit_intercept"": true, ""positive"": false}"
Sem transformação,Linear Regression,7,1.5832657470804092e+16,125827888.28715235,66799359.05920258,0.5763332373744028,"{""fit_intercept"": true, ""positive"": false}"
Sem transformação,Linear Regression,8,1.195855821269911e+16,109355192.89315487,62810327.505766764,0.6408506032781829,"{""fit_intercept"": false, ""positive"": false}"
Sem transformação,Linear Regression,9,1.4673557166987026e+16,121134459.04030375,62131261.02554438,0.6042967889749764,"{""fit_intercept"": false, ""positive"": false}"
Sem transformação,KNN Regressor,0,1.2200428559146872e+16,110455550.15094022,60056067.055529475,0.4216093810024133,"{""n_neighbors"": 11, ""p"": 1, ""weights"": ""distance""}"
Sem transformação,KNN Regressor,1,2.2540111212587356e+16,150133644.5057781,67955591.23838145,0.3591616392982787,"{""n_neighbors"": 11, ""p"": 1, ""weights"": ""distance""}"
Sem transformação,KNN Regressor,2,1.9595333929259024e+16,139983334.46971115,70830573.83507077,0.4419690919723095,"{""n_neighbors"": 11, ""p"": 1, ""weights"": ""distance""}"
Sem transformação,KNN Regressor,3,2.1548226867253464e+16,146793143.1206971,69765967.69346325,0.5244095337874082,"{""n_neighbors"": 11, ""p"": 1, ""weights"": ""distance""}"
Sem transformação,KNN Regressor,4,1.6479456991218526e+16,128372337.3286415,66287571.73869048,0.4904815827355422,"{""n_neighbors"": 11, ""p"": 1, ""weights"": ""distance""}"
