target_version,model,fold,mse,rmse,mae,r2
Sem transformação,Random Forest Regressor,0,1.1281179136925722e+16,106212895.34197682,36326350.04862717,0.46518860772826887
Sem transformação,Random Forest Regressor,1,1.3286214576503276e+16,115265843.06074058,34113284.003184006,0.6222593629270596
Sem transformação,Random Forest Regressor,2,7949929492849633.0,89162377.11529249,31290843.183069795,0.7736039411389224
Sem transformação,Random Forest Regressor,3,1.6046062973999406e+16,126673055.4380031,36219840.41980651,0.6458476784334284
Sem transformação,Random Forest Regressor,4,5422395745184250.0,73636918.35746694,28354830.006996397,0.8323482078723808
Sem transformação,Random Forest Regressor,5,9557088148670734.0,97760360.82518688,32303672.06897084,0.7684086821374669
Sem transformação,Random Forest Regressor,6,5253530693332418.0,72481243.73472366,30338616.089542393,0.8075671342045767
Sem transformação,Random Forest Regressor,7,1.2488801917544352e+16,111753308.30693269,34540661.669004634,0.6658116120281576
Sem transformação,Random Forest Regressor,8,7756305906970187.0,88069892.17076507,34624327.89909391,0.7670561502706882
Sem transformação,Random Forest Regressor,9,1.0186232044254454e+16,100926864.8292141,31342565.77811867,0.7253069121353946
Sem transformação,Gradient Boosting Regressor,0,8853547417658005.0,94093291.03426027,35401710.15044674,0.5802763200982362
Sem transformação,Gradient Boosting Regressor,1,1.273330284309548e+16,112841937.43061788,33967212.65195907,0.6379792076744062
Sem transformação,Gradient Boosting Regressor,2,7914073859874084.0,88961080.59075095,31894979.643851962,0.7746250286845333
Sem transformação,Gradient Boosting Regressor,3,1.4725105625535642e+16,121347046.216773,36474365.9178842,0.6750025005481681
Sem transformação,Gradient Boosting Regressor,4,5476962081968563.0,74006500.2683451,28709039.05011862,0.830661104130487
Sem transformação,Gradient Boosting Regressor,5,1.0443458356804044e+16,102193240.26961882,34090571.31290204,0.7469297921845441
Sem transformação,Gradient Boosting Regressor,6,4876029719646665.0,69828573.80504535,29579639.42712479,0.8213947100668647
Sem transformação,Gradient Boosting Regressor,7,1.3345545301469362e+16,115522921.108624,35647038.65609961,0.6428859789474356
Sem transformação,Gradient Boosting Regressor,8,7318293276786023.0,85547023.77514967,34203795.70098463,0.7802109109942782
Sem transformação,Gradient Boosting Regressor,9,1.0858398578109382e+16,104203639.94654593,33612798.69339643,0.7071805333191958
Sem transformação,XGBoost Regressor,0,8391586199029372.0,91605601.3518244,35600552.03427565,0.6021767012119124
Sem transformação,XGBoost Regressor,1,1.4574748346378396e+16,120725922.42918833,35946091.26327673,0.5856250330869099
Sem transformação,XGBoost Regressor,2,8071507093978494.0,89841566.62691548,31810247.631322253,0.7701416853080858
Sem transformação,XGBoost Regressor,3,1.673010487464007e+16,129344906.64359409,37330837.31471279,0.630750203896949
Sem transformação,XGBoost Regressor,4,5766892123361628.0,75940056.11903132,29538442.726777006,0.821696931592112
Sem transformação,XGBoost Regressor,5,8838748566815914.0,94014618.89948772,31824101.13755419,0.7858157843684658
Sem transformação,XGBoost Regressor,6,6088855051698533.0,78031115.91985938,31439923.420254923,0.7769698331641308
Sem transformação,XGBoost Regressor,7,9907904756294688.0,99538458.67952089,33636629.71265354,0.7348739502359145
Sem transformação,XGBoost Regressor,8,7753962389821893.0,88056586.29439306,34667620.0031657,0.7671265327327749
Sem transformação,XGBoost Regressor,9,1.1513927167723518e+16,107302969.05362646,33854306.25710022,0.6895028315269807
