target_version,model,fold,mse,rmse,mae,r2,best_params_json
Sem transformação,XGBoost (Squared Error),0,1.0102113120026624e+16,100509268.82644518,55287572.0,0.5210850834846497,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,XGBoost (Squared Error),1,1.6609430955098112e+16,128877581.27423912,54010908.0,0.5277769565582275,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 100, ""subsample"": 1.0}"
Sem transformação,XGBoost (Squared Error),2,1.1257540927029248e+16,106101559.49386063,56477564.0,0.6794106364250183,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 1.0}"
Sem transformação,XGBoost (Squared Error),3,2.080268268811059e+16,144231351.26632693,60418372.0,0.5408643484115601,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,XGBoost (Squared Error),4,8863045656772608.0,94143749.96128319,50750540.0,0.7259688377380371,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,XGBoost (Squared Error),5,1.222187704909824e+16,110552598.56330036,52624508.0,0.7038344144821167,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,XGBoost (Squared Error),6,1.0842230474407936e+16,104126031.68472299,55595476.0,0.6028572916984558,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,XGBoost (Squared Error),7,1.2061237756035072e+16,109823666.64810947,55376572.0,0.6772528290748596,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 1.0}"
Sem transformação,XGBoost (Squared Error),8,1.0207404243288064e+16,101031699.20024143,55808984.0,0.693442702293396,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,XGBoost (Squared Error),9,1.3747917584072704e+16,117251514.20801654,55224632.0,0.6292585730552673,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 1.0}"
Sem transformação,XGBoost (MAE),0,8390885406408704.0,91601776.21863401,47919828.0,0.6022099256515503,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 1.0}"
Sem transformação,XGBoost (MAE),1,1.7856604632252416e+16,133628607.08790022,52467764.0,0.4923185706138611,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 1.0}"
Sem transformação,XGBoost (MAE),2,1.3549748866777088e+16,116403388.55367179,52597016.0,0.6141337156295776,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 1.0}"
Sem transformação,XGBoost (MAE),3,2.023048567010099e+16,142233911.8146618,54580596.0,0.553493320941925,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 1.0}"
Sem transformação,XGBoost (MAE),4,9566984891006976.0,97810965.08575599,48514544.0,0.7042041420936584,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,XGBoost (MAE),5,1.6182702331920384e+16,127211250.807153,52615252.0,0.6078540086746216,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,XGBoost (MAE),6,8831232834011136.0,93974639.31301431,49715472.0,0.6765186190605164,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,XGBoost (MAE),7,1.4244388959944704e+16,119349859.48858383,54887772.0,0.6188337802886963,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 1.0}"
Sem transformação,XGBoost (MAE),8,9206745582796800.0,95951787.80406752,50453496.0,0.723495364189148,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 1.0}"
Sem transformação,XGBoost (MAE),9,1.4407190769041408e+16,120029957.79821555,52047088.0,0.6114798784255981,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,XGBoost (Pseudo-Huber),0,2.955752254944051e+16,171923013.43752822,91998808.0,-0.4012453556060791,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
Sem transformação,XGBoost (Pseudo-Huber),1,4.489855302526566e+16,211892786.62867612,98618992.0,-0.276511549949646,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
Sem transformação,XGBoost (Pseudo-Huber),2,4.458217284934042e+16,211144909.59845662,97298704.0,-0.26959967613220215,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
Sem transformação,XGBoost (Pseudo-Huber),3,5.566555929496781e+16,235935498.16627383,101770472.0,-0.22859346866607666,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
Sem transformação,XGBoost (Pseudo-Huber),4,4.242941498150093e+16,205984016.32529873,100430336.0,-0.31184959411621094,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
Sem transformação,XGBoost (Pseudo-Huber),5,5.126434309799936e+16,226416304.841324,100055008.0,-0.24225878715515137,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
