target_version,model,classifier_model,regressor_model,fold,mse,rmse,mae,r2,band_macro_f1,classifier_best_params_json
Sem transformação,Random Forest Classifier + Random Forest Regressor,Random Forest Classifier,Random Forest Regressor,0,9056352038325712.0,95164867.66830347,53998192.2501428,0.5706618799566542,0.4617503421700432,"{""max_depth"": 20, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 300}"
Sem transformação,Random Forest Classifier + Random Forest Regressor,Random Forest Classifier,Random Forest Regressor,1,1.6724804558022544e+16,129324415.93922837,55181962.82255026,0.524496741168051,0.4514197624877914,"{""max_depth"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300}"
Sem transformação,Random Forest Classifier + Random Forest Regressor,Random Forest Classifier,Random Forest Regressor,2,1.2935699090077248e+16,113735214.81967336,59135851.3069116,0.6316204696858801,0.4272252216587358,"{""max_depth"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 300}"
Sem transformação,Random Forest Classifier + Random Forest Regressor,Random Forest Classifier,Random Forest Regressor,3,1.9181893922990692e+16,138498714.51746652,57677247.56201538,0.5766368188957902,0.4689662378351732,"{""max_depth"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}"
Sem transformação,Random Forest Classifier + Random Forest Regressor,Random Forest Classifier,Random Forest Regressor,4,1.2419684268782628e+16,111443637.18392642,62252403.205884054,0.6160032533276754,0.43993318617648686,"{""max_depth"": 10, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 300}"
Sem transformação,Random Forest Classifier + Random Forest Regressor,Random Forest Classifier,Random Forest Regressor,5,1.3449587810499644e+16,115972357.95869482,55069721.53834975,0.6740840183445727,0.4323142775220652,"{""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}"
Sem transformação,Random Forest Classifier + Random Forest Regressor,Random Forest Classifier,Random Forest Regressor,6,8616464349030196.0,92824912.32977383,53511435.90594211,0.684385411545732,0.45404036362394534,"{""max_depth"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}"
Sem transformação,Random Forest Classifier + Random Forest Regressor,Random Forest Classifier,Random Forest Regressor,7,1.3574546456598604e+16,116509855.620023,58118875.17940471,0.6367581271821816,0.43136791453008766,"{""max_depth"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 300}"
Sem transformação,Random Forest Classifier + Random Forest Regressor,Random Forest Classifier,Random Forest Regressor,8,1.013496304045804e+16,100672553.56082928,56472285.94709961,0.6956183348329532,0.446582125062495,"{""max_depth"": 20, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 100}"
Sem transformação,Random Forest Classifier + Random Forest Regressor,Random Forest Classifier,Random Forest Regressor,9,1.5691618393396566e+16,125266190.14481348,58207483.80735876,0.5768426351030937,0.4283142583384706,"{""max_depth"": 20, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 300}"
Sem transformação,Gradient Boosting Classifier + Gradient Boosting Regressor,Gradient Boosting Classifier,Gradient Boosting Regressor,0,1.0231323937755684e+16,101150007.10704713,53512348.632823095,0.5149595150010748,0.5082568903826511,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
Sem transformação,Gradient Boosting Classifier + Gradient Boosting Regressor,Gradient Boosting Classifier,Gradient Boosting Regressor,1,1.52997021992568e+16,123691964.97451563,53009866.952247575,0.5650138553388804,0.4640991050979892,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 1.0}"
Sem transformação,Gradient Boosting Classifier + Gradient Boosting Regressor,Gradient Boosting Classifier,Gradient Boosting Regressor,2,1.0559563260458856e+16,102759735.59940127,56062404.81363451,0.6992874581325129,0.4478899043415172,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 1.0}"
Sem transformação,Gradient Boosting Classifier + Gradient Boosting Regressor,Gradient Boosting Classifier,Gradient Boosting Regressor,3,1.7927952975709018e+16,133895306.02567448,56991799.84429984,0.6043125234163804,0.48556286915323,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,Gradient Boosting Classifier + Gradient Boosting Regressor,Gradient Boosting Classifier,Gradient Boosting Regressor,4,8418729404528048.0,91753634.28512272,49868786.180348955,0.7397063699454027,0.472459973263322,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 1.0}"
Sem transformação,Gradient Boosting Classifier + Gradient Boosting Regressor,Gradient Boosting Classifier,Gradient Boosting Regressor,5,1.3038695291048098e+16,114187106.50090095,54842315.62882969,0.684040936037424,0.4433340577645787,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,Gradient Boosting Classifier + Gradient Boosting Regressor,Gradient Boosting Classifier,Gradient Boosting Regressor,6,9226544487474896.0,96054903.50562483,54454969.5820092,0.6620386363465729,0.4637656464277833,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 1.0}"
Sem transformação,Gradient Boosting Classifier + Gradient Boosting Regressor,Gradient Boosting Classifier,Gradient Boosting Regressor,7,1.2324352877675306e+16,111015102.02524388,55114500.671533704,0.6702121109631396,0.4642768389918396,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,Gradient Boosting Classifier + Gradient Boosting Regressor,Gradient Boosting Classifier,Gradient Boosting Regressor,8,9283944588417408.0,96353228.2200104,52497431.00242925,0.7211768309503996,0.4855888366857738,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,Gradient Boosting Classifier + Gradient Boosting Regressor,Gradient Boosting Classifier,Gradient Boosting Regressor,9,1.3310098908806234e+16,115369401.9608589,53855920.75281703,0.6410652974368893,0.461050441457955,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,XGBoost Classifier + XGBoost Regressor,XGBoost Classifier,XGBoost Regressor,0,1.0385419938842234e+16,101908880.56907618,53093687.774654366,0.5076542239597466,0.4842023802817789,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}"
